Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.5992E-18,-0.0099501,0.03,0,0,0,2.2532,0.0027726,5.064E-20,7.5802E-20,0.0053916,1.4086E-20,0.0027727,0,0,0,0,0,0,package://MechFinger/meshes/base_link.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://MechFinger/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.0175002150931184,-0.0075,-2.02182021125097E-15,0,0,0,0.0057358122751643,2.1462842273792E-07,-1.42898877268077E-22,-1.32348898008484E-22,7.02033776204903E-07,2.43921581949899E-23,7.16250826753962E-07,0,0,0,0,0,0,package://MechFinger/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://MechFinger/meshes/link1.STL,,segments-1,Origin_joint1,Axis_joint1,joint1,revolute,0,-0.0225,0.008,3.1416,-1.0462,3.1416,base_link,0,0,1,10,100,-1.57,1.57,,,,,,,,
link2,0.0175002150931192,0.00749999999999999,-2.23085439010617E-15,0,0,0,0.0057358122751643,2.1462842273792E-07,2.37823483221812E-22,-1.38966342908909E-22,7.02033776204902E-07,1.11364230732143E-23,7.16250826753962E-07,0,0,0,0,0,0,package://MechFinger/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://MechFinger/meshes/link2.STL,,segments-2,Origin_joint2,Axis_joint2,joint2,revolute,0.035,0,0,-3.1416,0.741,0,link1,0,0,1,10,100,-1.57,1.57,,,,,,,,
fingertip,0.0214441157580348,-0.00749999999899943,0.000363766379078943,0,0,0,0.00752238112648173,2.74880881878481E-07,-1.23037033806224E-16,-4.60531164771403E-08,1.12605308893331E-06,-2.44263561760782E-17,1.16112796100964E-06,0,0,0,0,0,0,package://MechFinger/meshes/fingertip.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://MechFinger/meshes/fingertip.STL,,fingertip-1,Origin_endeffectorjoint,Axis_endeffectorjoint,endeffectorjoint,revolute,0.035,0,0,3.1416,-0.15223,0,link2,0,0,1,10,100,-1.57,1.57,,,,,,,,
