Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.16197290784397E-18,-0.00993974748653739,0.0300014235592228,0,0,0,2.25446767524272,0.00277268478631531,5.06396775501893E-20,7.58027467186751E-20,0.00539162126185719,1.40890952655998E-20,0.00277273425968255,0,0,0,0,0,0,package://finger/meshes/base_link.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://finger/meshes/base_link.STL,,base-1;connection-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.0207393229920771,-0.0079559655758786,2.6628005356244E-16,0,0,0,0.00703861962695465,2.62020669315562E-07,-1.37212946526911E-22,-9.26442286059392E-23,7.16921529606444E-07,-1.1772685729731E-23,7.63643073331604E-07,0,0,0,0,0,0,package://finger/meshes/link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://finger/meshes/link_1.STL,,segments-1;connection-2,Origin_joint_1,Axis_joint_1,joint_1,revolute,0,-0.0225,0.008,3.1416,-1.0462,3.1416,base_link,0,0,1,10,100,-1.57,1.57,,,,,,,,
link_2,0.0207393229920767,0.00795596557587861,-1.68962066560141E-15,0,0,0,0.00703861962695465,2.62020669315562E-07,2.5086774228277E-22,-3.97046694025453E-23,7.16921529606444E-07,1.06410424434208E-23,7.63643073331604E-07,0,0,0,0,0,0,package://finger/meshes/link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://finger/meshes/link_2.STL,,segments-2;connection-3,Origin_joint_2,Axis_joint_2,joint_2,revolute,0.035,0,0,-3.1416,0.741,0,link_1,0,0,1,10,100,-1.57,1.57,,,,,,,,
end_link,0.0214441157580334,-0.00749999999899945,0.000363766379080151,0,0,0,0.00752238112648173,2.74880881878481E-07,-1.23037035124277E-16,-4.60531164771404E-08,1.12605308893331E-06,-2.44263405116846E-17,1.16112796100964E-06,0,0,0,0,0,0,package://finger/meshes/end_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://finger/meshes/end_link.STL,,fingertip-1,Origin_end_joint,Axis_end_joint,end_joint,revolute,0.035,0,0,3.1416,-0.15223,0,link_2,0,0,1,10,100,-1.57,1.57,,,,,,,,
